Ticker,CIK10,FiscalYear,FY_EndDate,TA,TL,CA,CL,RE,EBIT,Sales,NI,CFO,LT,Shares_EOP,GP,SE,WC,BVE,Price_Close_near_FYEnd,Shares_Yahoo_proxy,Altman_Z_original_FY,Altman_Zpp_FY,Piotroski_F_FY,Altman_Z_original_GF,Piotroski_F_GF,GF_MVE_Mode,GF_MVE_Current,SIC,SIC_Desc,Is_Manufacturing
META,0001326801,2014,2014-12-31,40184000000.0,4088000000.0,13670000000.0,1424000000.0,6099000000.0,4994000000.0,12466000000.0,2940000000.0,5457000000.0,,2664000000.0,,36096000000.0,12246000000.0,36096000000.0,78.0199966430664,2168960000.0,31.804192783254518,12.600323559571178,3.0,251.26903828917978,5.0,current,1703132418437.5,,,False
META,0001326801,2015,2015-12-31,49407000000.0,5189000000.0,21652000000.0,1925000000.0,9787000000.0,6225000000.0,17928000000.0,3688000000.0,8599000000.0,,2853000000.0,,44218000000.0,19727000000.0,44218000000.0,104.66000366210938,2168960000.0,36.06140483150221,13.059261707446383,6.0,198.46696597887185,6.0,current,1703132418437.5,,,False
META,0001326801,2016,2016-12-31,64961000000.0,5767000000.0,34401000000.0,2875000000.0,21670000000.0,12427000000.0,27638000000.0,10217000000.0,16108000000.0,,2925000000.0,,59194000000.0,31526000000.0,59194000000.0,115.05000305175781,2168960000.0,37.11787863629435,16.334104652678363,6.0,179.3004164734133,6.0,current,1703132418437.5,,,False
META,0001326801,2017,2017-12-31,84524000000.0,10177000000.0,48563000000.0,3760000000.0,33990000000.0,20203000000.0,40653000000.0,15934000000.0,24216000000.0,,2956000000.0,,74347000000.0,44803000000.0,74347000000.0,176.4600067138672,2168960000.0,33.221421167529236,14.065052109068846,6.0,102.87947198356395,6.0,current,1703132418437.5,,,False
META,0001326801,2018,2018-12-31,97334000000.0,13207000000.0,50480000000.0,7017000000.0,41981000000.0,24913000000.0,55838000000.0,22112000000.0,29274000000.0,,2921000000.0,,84127000000.0,43463000000.0,84127000000.0,131.08999633789062,2168960000.0,19.953946357032006,12.743716018924449,6.0,79.93207337154801,6.0,current,1703132418437.5,,,False
META,0001326801,2019,2019-12-31,133376000000.0,32322000000.0,66225000000.0,15053000000.0,55692000000.0,23986000000.0,70697000000.0,18485000000.0,36314000000.0,,2876000000.0,,101054000000.0,51172000000.0,101054000000.0,205.25,2168960000.0,13.126344034917178,8.36939967652898,4.0,33.784101941683474,5.0,current,1703132418437.5,,,False
META,0001326801,2020,2020-12-31,159316000000.0,31026000000.0,75670000000.0,14981000000.0,77345000000.0,32671000000.0,85965000000.0,29146000000.0,38747000000.0,,2888000000.0,,128290000000.0,60689000000.0,128290000000.0,273.1600036621094,2168960000.0,17.609084163462672,9.801340542825026,6.0,35.2893457736218,6.0,current,1703132418437.5,,,False
META,0001326801,2021,2021-12-31,165987000000.0,41108000000.0,66666000000.0,21135000000.0,69761000000.0,46753000000.0,117929000000.0,39370000000.0,57683000000.0,,2859000000.0,,124879000000.0,45531000000.0,124879000000.0,336.3500061035156,2168960000.0,16.593112927558725,8.252069091793015,6.0,27.415936966493465,6.0,current,1703132418437.5,,,False
META,0001326801,2022,2022-12-31,185727000000.0,60014000000.0,59549000000.0,27026000000.0,64799000000.0,28944000000.0,116609000000.0,23200000000.0,50475000000.0,9923000000.0,2702000000.0,,125713000000.0,32523000000.0,125713000000.0,120.33999633789062,2168960000.0,5.09154277170718,5.53284769849358,4.0,18.86806573300807,4.0,current,1703132418437.5,,,False
META,0001326801,2023,2023-12-31,229623000000.0,76455000000.0,85365000000.0,31960000000.0,82070000000.0,46751000000.0,134902000000.0,39098000000.0,71113000000.0,18385000000.0,2629000000.0,,153168000000.0,53405000000.0,153168000000.0,353.9599914550781,2168960000.0,9.341650867101958,6.162595359181228,6.0,15.404602414303053,7.0,current,1703132418437.5,,,False
